;** RIFORNIMENTI DA DEPOSITI AL: 19/01/2018 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);da CAS;(in pallet);in arrivo (PZ);Mancante
008847;TEXACO COUPLING GR KG.15,9    ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
008730;TEXACO GEAR EP-C 80W90 LT.20  ;         15;         0;        15;         1;         0;         0;         0;         0;         0;         0;         0;          0
008871;TEXACO MEROPA  680 LT. 208    ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
010109;TEXACO URSA HEV DU 40 LT,208  ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
011936;TEXACO BROCH PROD RISP CARBURA;         50;         0;        50;         1;         0;         0;         0;         0;         0;         0;         0;          0
014324;LUBEX 1 COPRIS ITALIA TRAP G. ;         13;         0;        13;         1;         0;         0;         0;         0;         0;         0;         0;          0
002265;TEXACO HAV ULTRA S 5W40 LT.208;         11;       780;        11;         3;         0;         0;         0;         0;         0;         0;         0;          0
008887;TEXACO OMNIS 150 LT.208       ;        -21;         0;       -21;        -4;         0;         0;         0;         0;         0;         0;         0;          0
008802;TEXACO TEXAMATIC 7045E LT.208 ;        -10;        60;       -10;        -1;         0;         0;         0;         0;         0;         0;         0;          0
014651;TEXACO HAV PRODS V 5W30 LT.208;          8;       780;         8;         2;         0;         0;         0;         0;         0;         0;         0;          0
006291;TEXACO URSA HEV DU 30 LT.20   ;         -9;         0;        -9;         1;         0;         0;         0;         0;         0;         0;         0;          0
008740;TEXACO HAV ENERGY 5W30 LT208  ;         -9;       108;        -9;        -1;         0;         0;         0;         0;         0;         0;         0;          0
008772;TEXACO HAV ULTRA S 5W40 LT. 5 ;         -8;       780;        -8;         1;         0;         0;         0;         0;         0;         0;         0;          0
008954;TEXACO HAV ULTRA 5W40 LT.20   ;         -8;       324;        -8;         1;         0;         0;         0;         0;         0;         0;         0;          0
014627;TEXACO HAV EXTRA 15W40 LT.5   ;          8;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;          0
015334;MOMO C/SED 008 POLY - SCU008BG;          7;         0;         0;         0;         0;         0;         0;         0;         7;         1;         0;          0
014655;TEXACO HAV PRODS M 5W30 LT.208;          5;         0;         5;         2;         0;         0;         0;         0;         0;         0;         0;          0
008744;TEXACO HAV EXTRA 10W40 LT.208 ;          7;         0;         7;         2;         0;         0;         0;         0;         0;         0;         0;          0
016210;PITBOX EXPO+CROWNER+VIDEO     ;          7;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          4
009521;TEXACO TUTA HAVOLINE TG M     ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
009728;TAMOIL TAMLITH EX BLU 2 KG.0,5;          3;     1.560;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
009412;TEXACO TEXAMATIC 4291 LT.20   ;          4;         0;         4;         1;         0;         0;         0;         0;         0;         0;         0;          0
009504;TEXACO BANNER HAVOLINE        ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
014659;TEXACO HAV PRODS P 0W30 LT.208;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
014645;TEXACO HAV ENERGY 0W30 LT.4   ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
016144;BULK SLIDEWAY 220 KG.850      ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
008776;TEXACO HAV XLC 50/50 LT. 210  ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
008878;TEXACO MULTIFAK 142 KG.18     ;          1;         0;         1;         1;         0;         0;         0;         0;         0;         0;         0;          0
009511;TEXACO POSTER HAVOLINE        ;          3;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          0
009826;TEXACO DISPOSABLE SEAL COVER  ;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
016857;SPARCO BATTERIA KK99          ;        154;        30;        59;         1;         0;         0;         0;         0;         0;         0;         0;         65
016856;SPARCO BATTERIA KK85          ;         37;         0;        10;         1;         0;         0;         0;         0;         0;         0;         0;         27
016855;SPARCO BATTERIA KK75          ;        307;         0;         8;         1;         0;         0;         0;         0;         0;         0;         0;        299
016853;SPARCO BATTERIA KK65          ;        444;       360;        36;         1;         0;         0;         0;         0;         0;         0;         0;         48
016851;SPARCO BATTERIA KK55          ;        433;       405;         2;         1;         0;         0;         0;         0;         0;         0;         0;         26
016850;SPARCO BATTERIA KK52          ;        719;         0;       359;         4;         0;         0;         0;         0;         0;         0;         0;        360
016849;SPARCO BATTERIA KK45          ;          8;         0;         3;         1;         0;         0;         0;         0;         0;         0;         0;          5
016848;SPARCO BATTERIA KK221         ;          2;         0;         2;         1;         0;         0;         0;         0;         0;         0;         0;          0
016858;BULK SET 2 TAPPETI PVC SAGOM  ;        102;         0;       102;         1;         0;         0;         0;         0;         0;         0;         0;          0
