;** RIFORNIMENTI DA DEPOSITI AL: 13/09/2016 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da MTN;(in pallet);in arrivo (PZ);da SLI;(in pallet);in arrivo (PZ);da GIC;(in pallet);in arrivo (PZ);da SHI;(in pallet);in arrivo (PZ);da    ;(in pallet);in arrivo (PZ);da TRI;(in pallet);in arrivo (PZ);Mancante
007436;CEPSA HIDRAULICO HM 68 LT.5   ;         10;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        10;         1;         0;          0
009412;TEXACO TEXAMATIC 4291 LT.20   ;          2;         8;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
009519;TEXACO TUTA HAVOLINE TG XL    ;         15;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        15;         1;         0;          0
009960;TEXACO MOTOR OIL 5W40 LT.1    ;         35;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        35;         1;         0;          0
008893;TEXACO RANDO HD  10 LT.20     ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
008733;TEXACO GEAR EP-C 85W140 LT.20 ;          2;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
002264;TEXACO HAV ULTRA S 5W30 LT.  1;         30;       780;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        30;         1;         0;          0
008897;TEXACO RANDO HD  22 LT.20     ;          2;         5;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         2;         1;         0;          0
009505;TEXACO BROCHURE HAVOLINE      ;        125;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       125;         1;         0;          0
009084;MV+ BATTERIA 45  E2           ;          3;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         3;         1;         0;          0
009173;CEPSA MOTO 4T R 5W40 LT.1     ;         24;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;        24;         1;         0;          0
009128;CEPSA XTAR 5W20 HYBRID LT.5   ;          4;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         4;         1;         0;          0
010131;CEPSA AVANT 15W40 LT.5        ;          5;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         5;         1;         0;          0
008954;TEXACO HAV ULTRA 5W40 LT.20   ;          1;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         0;          0
