;** RIFORNIMENTI DA DEPOSITI AL: 05/10/2017 **
 
Codice;Descrizione;Q.ta rifornimento;in arrivo LBX (PZ);da TRI;(in pallet);in arrivo (PZ);da PAR;(in pallet);in arrivo (PZ);Mancante
011935;TEXACO BROCH LUB VEIC COMMERC ;        134;         0;       134;         1;         0;         0;         1;         0;          0
009940;CEPSA XTAR 10W40 SYNT LT.5    ;          8;         0;         8;         1;         0;         0;         1;         0;          0
014654;TEXACO HAV PRODS M 5W30 LT.1  ;         27;         0;        27;         1;         0;         0;         1;         0;          0
008988;TEXACO URSA LE 10W30 LT.20    ;          2;         0;         2;         1;         0;         0;         1;         0;          0
009040;TEXACO REGAL EP 100 LT.20     ;          2;         0;         2;         1;         0;         0;         1;         0;          0
009075;TEXACO S.TRACTOR 10W30 LT.20  ;          2;         0;         2;         1;         0;         0;         1;         0;          0
014629;TEXACO URSA HEV DU 20W50 LT.20;          2;         0;         1;         1;         0;         0;         1;         0;          1
015021;TEXACO LEAFLET HAV 253        ;        463;         0;       463;         1;         0;         0;         1;         0;          0
009696;TEXACO HAV ENERGY EF 5W30 LT.1;         26;         0;        26;         1;         0;         0;         1;         0;          0
008897;TEXACO RANDO HD  22 LT.20     ;          2;         0;         2;         1;         0;         0;         1;         0;          0
009274;CEPSA HIDRAULICO HM 46 LT.20  ;          2;         0;         2;         1;         0;         0;         1;         0;          0
008844;TEXACO COMPR EP VDL 100 LT.20 ;          2;         0;         2;         1;         0;         0;         1;         0;          0
008870;TEXACO MEROPA   68 LT. 20     ;          2;         0;         2;         1;         0;         0;         1;         0;          0
014626;TEXACO HAV EXTRA 15W40 LT.1   ;         34;         0;        34;         1;         0;         0;         1;         0;          0
006290;TEXACO HAV ENERGY 5W20 LT.1   ;         24;         0;        24;         1;         0;         0;         1;         0;          0
008848;TEXACO COUPLING GREASE KG.0,40;         34;         0;        34;         1;         0;         0;         1;         0;          0
010106;TEXACO URSA HEV DU 10W LT.20  ;          2;         0;         2;         1;         0;         0;         1;         0;          0
016041;SPARCO BATTERIA KK75          ;          2;         0;         2;         1;         0;         0;         1;         0;          0
008828;TEXACO URSA TD 15W40 LT.  5   ;          6;        28;         4;         1;         0;         0;         1;         0;          0
